File Name,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
141.txt,-0.005237013,0.471081169,25.86956522,22.01680672,12.67,25.86956522,131,595,1.761344538,5,5.744537815
142.txt,0.075456996,0.447619456,26.65714286,15.86280815,14.09,26.65714286,148,933,1.648445874,7,5.415862808
143.txt,0.045090743,0.256767816,21.96923077,15.12605042,11.97,21.96923077,216,1428,1.610644258,10,5.273109244
144.txt,0.033203125,0.345052083,29.14285714,10.78431373,11.79,29.14285714,44,408,1.556372549,15,5.223039216
145.txt,0,0.471428571,135,19.25925926,47.64,135,26,135,1.733333333,0,5.792592593
146.txt,-0.006666667,0.258095238,19.42857143,19.11764706,12.16,19.42857143,26,136,1.588235294,2,5.367647059
15.txt,0.181968781,0.485330058,21.31578947,20,12.67,21.31578947,162,810,1.764197531,22,5.969135802
16.txt,0.086187209,0.353243486,17.08888889,20.0260078,10.94,17.08888889,154,769,1.768530559,18,6.014304291
17.txt,0.127405635,0.457325277,23.1025641,18.09100999,12.68,23.1025641,163,901,1.759156493,4,5.991120977
18.txt,0.177012432,0.516379176,21.86666667,21.8495935,13.99,21.86666667,215,984,1.793699187,33,5.968495935
19.txt,0.15330432,0.404255319,23.53125,19.7875166,13.26,23.53125,149,753,1.788844622,8,6.136786189
2.txt,0.125075758,0.521155303,16.82857143,24.10865874,10.43,16.82857143,142,589,1.96434635,4,6.736842105
20.txt,0.08991009,0.389954094,22.60465116,19.85596708,12.04,22.60465116,193,972,1.768518519,26,6.161522634
21.txt,0.021386946,0.374067599,22.76190476,16.10878661,10.19,22.76190476,77,478,1.569037657,8,5.470711297
22.txt,0.065313853,0.50283189,17.42424242,25.39130435,11.17,17.42424242,146,575,1.975652174,6,6.688695652
23.txt,0.04895167,0.470359243,21.65116279,18.15252417,11.96,21.65116279,169,931,1.80773362,14,6.179377014
24.txt,0.224063689,0.613557654,16.33333333,25.51020408,13.54,16.33333333,175,686,1.950437318,8,6.268221574
25.txt,0.098878122,0.38136297,17.94,18.61761427,10.42,17.94,167,897,1.665551839,15,5.558528428
26.txt,-0.033038961,0.396339827,34.20689655,13.81048387,15.35,34.20689655,137,992,1.576612903,9,5.484879032
27.txt,0.080555556,0.281944444,24.61111111,11.73814898,10.94,24.61111111,52,443,1.530474041,10,5.571106095
28.txt,0.08125,0.201923077,22,14.68531469,10.17,22,42,286,1.538461538,9,5.367132867
29.txt,-0.013333333,0.22,187.5,14.13333333,52.02,187.5,53,375,1.594666667,16,5.490666667
3.txt,0.046787879,0.307002331,8.849056604,27.29211087,9.76,8.849056604,128,469,1.997867804,3,6.869936034
30.txt,0.2,0.2,101.5,12.80788177,29.89,101.5,26,203,1.536945813,11,5.463054187
31.txt,0.056481481,0.271296296,87,13.02681992,15.92,87,34,261,1.578544061,10,5.448275862
32.txt,0.134722222,0.304166667,104,15.06410256,20.98,104,47,312,1.570512821,5,5.509615385
33.txt,0.082548701,0.214150433,16.64,21.15384615,9.16,16.64,88,416,1.951923077,8,7.822115385
34.txt,0.176406926,0.445292208,21.15789474,17.66169154,11.63,21.15789474,71,402,1.629353234,11,5.639303483
35.txt,0.1,0.15,20.07692308,12.64367816,10.15,20.07692308,33,261,1.636015326,7,5.766283525
36.txt,0.200173611,0.392708333,47.77777778,16.97674419,21.77,47.77777778,73,430,1.669767442,7,5.727906977
37.txt,0.155555556,0.420238095,41.83333333,15.13944223,18.44,41.83333333,38,251,1.561752988,5,5.430278884
38.txt,0.071990741,0.360648148,33.4,13.77245509,15.2,33.4,69,501,1.586826347,15,5.371257485
39.txt,0.128083333,0.251619048,36,14.72222222,16.07,36,53,360,1.625,6,5.633333333
4.txt,0.049026807,0.3803885,20,27.24137931,12.28,20,158,580,1.912068966,2,6.25862069
40.txt,0.072454545,0.431333333,36.33333333,15.13761468,15.76,36.33333333,99,654,1.659021407,22,5.625382263
41.txt,0.191046832,0.350964187,21.38888889,13.24675325,10.84,21.38888889,51,385,1.524675325,18,5.181818182
42.txt,0.105555556,0.370634921,21.55555556,15.46391753,10.7,21.55555556,60,388,1.690721649,23,6.309278351
43.txt,0.114393939,0.370549242,17.5,10.95238095,8.55,17.5,46,420,1.452380952,27,4.866666667
44.txt,0.196387164,0.538457557,17.85185185,16.39004149,7.55,17.85185185,79,482,1.508298755,30,5.06846473
45.txt,0.128132047,0.411084528,18.32786885,17.35241503,11.56,18.32786885,194,1118,1.684257603,10,5.628801431
46.txt,0.062374608,0.397292018,25.76470588,15.52511416,14.18,25.76470588,68,438,1.671232877,4,5.906392694
47.txt,0.086055871,0.286505682,66.88888889,19.76744186,25.53,66.88888889,119,602,1.830564784,7,6.342192691
48.txt,0.264583333,0.414583333,45.125,16.3434903,18.54,45.125,59,361,1.67867036,4,5.767313019
49.txt,0.301428571,0.407142857,54.16666667,18.15384615,16,54.16666667,59,325,1.72,3,5.716923077
5.txt,0.144818182,0.383252914,8.528301887,28.09734513,10.4,8.528301887,127,452,1.977876106,2,6.634955752
50.txt,0.048357819,0.478596306,21.96774194,17.76798825,11.18,21.96774194,121,681,1.653450808,36,5.544787078
51.txt,0.090645036,0.430560224,24.60869565,13.60424028,12.31,24.60869565,77,566,1.535335689,21,5.061837456
52.txt,0.072913753,0.266153846,19.09677419,12.66891892,9.5,19.09677419,75,592,1.530405405,28,4.984797297
53.txt,0.14,0.37625,15.5,16.12903226,10.25,15.5,70,434,1.601382488,16,5.592165899
54.txt,0.085215054,0.237365591,30.28571429,18.86792453,15.18,30.28571429,80,424,1.615566038,6,5.535377358
55.txt,0.306643357,0.458041958,34.71428571,17.28395062,17.24,34.71428571,42,243,1.679012346,4,5.802469136
56.txt,0.263531746,0.476230159,24.85,14.08450704,12.16,24.85,70,497,1.543259557,18,5.233400402
57.txt,0.130963825,0.294839279,18.31818182,16.12903226,10.95,18.31818182,65,403,1.600496278,11,5.377171216
